backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,16,0.015084,0.216028,5480.782978,2370.068315,31.94
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,16,0.015084,0.426693,3974.758464,2399.854167,45.94
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,16,0.015095,0.844265,3221.737186,2425.778587,73.94
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,16,0.015156,1.685482,2828.863616,2430.164717,129.94
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,16,0.015236,3.386283,2617.619163,2419.171501,241.94
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,32,0.024102,1.799179,5300.194184,4553.186950,259.88
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,32,0.023758,3.482434,5090.691870,4704.754941,483.88
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,32,0.023775,3.461007,5122.208181,4733.881929,483.88
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,64,0.042006,3.820800,9279.733109,8576.215436,967.75
backend,model,dtype,device,batch_size,avg_ttft,avg_latency,tokps_total,tokps_new,avg_kv_mbs
HF,Qwen/Qwen2.5-1.5B-Instruct,torch.bfloat16,cuda,64,0.041981,3.815251,9293.228422,8588.687639,967.75
